2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,1,1,1,1,1,2,1,1,1,1,1,2
1,1,1,1,1,1,2,2,1,1,1,1,1
1,1,1,1,1,3,1,1,1,4,2,14,3
1,1,1,1,1,2,2,1,1,2,2,2,2
1,1,1,1,1,1,1,2,2,2,1,1,1
1,1,1,2,1,2,2,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1,1,1,2,1,2
1,1,1,1,1,1,2,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,1,2,2,2
1,1,1,1,1,1,1,1,1,1,1,2,2
1,1,1,1,1,1,1,1,1,1,1,2,2
1,1,1,1,1,1,1,1,1,1,1,2,2
1,1,1,1,1,1,1,1,1,1,1,2,2
1,1,1,1,1,1,1,1,1,1,2,2,1
1,1,1,1,1,1,1,1,1,1,1,1,4
1,1,1,1,1,1,1,2,1,1,1,1,2
1,1,1,1,1,1,1,2,1,1,1,1,1
1,1,1,1,1,1,1,2,2,1,1,1,1
1,1,1,1,1,1,1,2,1,1,1,2,3
1,1,1,1,1,1,2,2,1,2,2,1,1
1,1,1,1,1,1,1,2,1,1,1,1,4
1,2,1,1,1,2,1,2,2,3,2,1,2
1,1,1,1,1,1,1,1,2,1,2,1,1
1,1,1,1,1,1,1,1,2,1,1,1,3
1,1,1,2,1,1,1,2,2,1,1,1,3
1,1,1,1,1,1,1,1,2,1,1,1,2
1,1,1,1,1,1,1,1,2,1,2,1,1
1,1,1,1,1,2,1,1,2,2,1,2,2
1,1,1,1,1,1,1,1,2,2,1,1,2
1,1,1,1,1,1,1,1,2,2,1,2,2
1,1,1,1,1,1,1,1,2,2,1,1,1
1,1,1,1,1,1,1,1,2,2,2,2,2
1,1,1,1,1,1,1,2,2,1,2,2,1
1,1,1,1,1,1,1,1,2,1,1,1,4
1,1,1,1,1,1,1,1,1,2,2,1,1
1,1,1,1,1,1,1,1,1,6,2,2,14
1,1,1,1,1,1,1,1,1,2,2,2,2
1,1,1,1,1,1,1,1,1,2,2,2,1
1,1,1,1,1,1,1,1,1,2,2,1,2
1,1,1,1,1,1,1,1,1,2,1,2,1
1,1,1,1,1,1,1,1,1,6,9,1,14
1,1,1,1,1,1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1,2,2,1,6
1,1,1,1,1,1,1,1,1,4,1,9,4
1,1,1,1,1,1,1,1,1,11,13,1,2
1,1,1,1,1,1,1,1,1,2,2,1,1
1,1,1,1,1,1,1,1,1,2,6,2,1
1,1,1,1,1,1,2,1,1,2,2,2,2
1,1,1,1,1,1,1,1,1,2,2,2,2
1,1,1,1,1,1,1,1,1,2,1,2,1
1,1,1,1,1,1,1,1,1,2,1,9,1
1,1,1,1,1,1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,1,1,2,2
1,1,1,1,1,1,1,1,1,1,1,2,6
1,1,1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,2,2,1
1,1,1,1,1,1,1,1,1,1,2,2,2
1,1,1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,1,1,2,2
1,1,1,1,1,1,1,1,1,1,2,2,2
1,1,1,1,1,1,1,1,1,1,1,2,2
1,1,1,1,1,1,1,1,11,1,6,3,5
1,1,1,1,1,2,2,1,1,1,2,2,2
1,1,1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,1,1,2,2
1,1,1,1,1,1,1,1,1,1,2,2,1
1,1,1,1,1,1,1,1,2,2,1,1,1
1,1,1,1,1,1,1,1,1,4,6,1,11
1,1,1,1,1,1,1,1,1,2,2,1,3
1,1,1,1,1,1,1,2,1,2,1,1,2
1,1,1,1,1,1,1,1,1,2,2,1,1
1,1,1,1,1,1,1,1,1,2,1,1,2
1,1,1,1,1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1,2,2,1,1
1,1,1,1,1,1,1,1,1,2,2,1,1
1,1,1,1,1,1,1,1,1,1,2,1,6
1,1,1,1,1,1,1,1,1,1,2,1,2
1,1,1,1,1,1,1,1,1,1,2,1,2
1,1,1,1,1,1,1,1,1,1,2,1,2
1,1,1,1,1,1,1,1,1,1,2,1,2
1,1,1,1,1,1,1,1,1,1,2,1,2
1,1,1,1,2,1,1,1,1,1,2,1,2
1,1,1,1,1,1,1,1,1,1,2,1,1
1,1,1,1,1,1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,1,1,1,1,1,58
1,1,1,1,1,1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,1,1,1,1,1,2
